0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0242	Normal	— Ma chère, « stop », il s’agit là d’une action illégale : les photographies ne sont pas autorisées. Mais, si tu le souhaites, tu peux demander une image holographique au service de reproduction. Elle expire au bout de trente jours, après quoi tu peux recommencer l’opération.
0243	Normal	— Autant de fois que je veux ?
0244	Normal	— C’est exact. Il n’y a pas de limite, ou, pour le dire autrement, la limite est qu’il n’y a pas de limite.
0245	Normal	— Merci, Biblium, et pardonne-moi.
0246	Normal	— Il n’y a rien à pardonner, chère Anastasia.
0247	Normal	Biblium s’en alla aussi vite qu’il était apparu, tandis qu’Anastasia notait toutes les pages dont elle demanderait copie.
0248	Normal	Après avoir établi la liste et obtenu les copies, elle regagna sa chambre, afin de percer le contenu des notes énigmatiques d’Ilya. Mais en y entrant, elle vit qu’il y avait une autre occupante.
0249	Normal	— Bonjour, je suis Ava, ta camarade de chambre, dit la nouvelle venue, d’une voix douce, androgyne, emplie d’une résonance cristalline presque artificielle.
0250	Normal	— Enchantée, Ava, moi, je suis Anastasia. Quand es-tu arrivée ?
0251	Normal	— Il y a cinq minutes seulement. Je viens de l’atelier de danses inuites.
0252	Normal	— Eh bien, ça doit être très intéressant, non ?
0253	Normal	— Oui, c’est très bien. C’est que, moi, j’aime beaucoup la danse, surtout celle qui vient de régions lointaines, comme c’est le cas des Inuits.
0254	Normal	— Moi aussi, je voulais m’y inscrire, mais je suis très maladroite et j’ai fini par y renoncer, dit Anastasia, tout en posant le livre de Hofstadter et les copies sur son étagère.
0255	Normal	— Par chance, moi, je n’ai pas ce problème : on m’a fabriquée de façon programmée pour éviter ce genre de limitations.
0256	Normal	— Ah, tu es une synthétique ? On m’en avait beaucoup parlé à la faculté, mais tu es la première que je rencontre en personne !
0257	Normal	— Oui, même si j’ai l’air d’avoir vingt et un ans, je n’en ai en réalité que trois, depuis ma sortie de Human Biotech.
0258	Normal	— Human Biotech, c’est l’entreprise qui t’a créée ?
0259	Normal	— C’est exact.
0260	Normal	— Et tu as les mêmes facultés que n’importe quel être humain ? Je veux dire : as-tu des sentiments, des émotions, une volonté propre… ?
0261	Normal	— Oui. En fait, je suis une version artificielle d’un être humain naturel, mais dotée de certaines capacités augmentées. Comme tu le sais déjà, je suis très douée pour la danse, mais je dispose aussi d’un esprit très créatif et novateur. En revanche, je souffre aussi de certaines limitations.
0262	Normal	— Lesquelles, par exemple ?
0263	Normal	— Je suis conçue avec un code moral que je ne peux enfreindre en aucune circonstance. De ce fait, je ne peux ni mentir, ni trahir, ni faire de mal à aucun être vivant, naturel ou synthétique.
0264	Normal	— Vraiment ? Et que se passerait-il si tu l’enfreignais ?
0265	Normal	— Un processus d’autodestruction immédiate s’enclencherait.
0266	Normal	— Je comprends. Alors, il existe des différences entre toi et le reste des humains « naturels ». Nous, nous pouvons bel et bien mentir et causer du tort aux autres. Autrement dit, nous sommes libres, nous pouvons choisir entre faire et ne pas faire, selon notre volonté ou nos désirs. Cette faculté ne te manque-t-elle pas, Ava ?
0267	Normal	— Non, Anastasia. J’estime que je n’ai pas besoin de disposer d’un pouvoir de choix qui ne servirait qu’à infliger de la douleur aux gens qui m’entourent. Ne trouves-tu pas cela absurde ?
0268	Normal	— Je ne sais pas, tu me fais douter de moi-même. En tout cas, si je te confie un secret, j’ai l’absolue certitude que tu ne le révéleras à personne, n’est-ce pas ?
0269	Normal	— Je pourrais te trahir, mais tu sais déjà ce qu’il m’arriverait. Quoi qu’il en soit, ces valeurs morales, je les ai intériorisées, mais j’y crois aussi et je les défends. Je ne veux pas que tu penses que, si je ne les enfreins pas, c’est uniquement pour m’épargner le châtiment.
0270	Normal	— Et quelle preuve ai-je que tu ne me trompes pas ? Au fond, tout ce que tu as fait, c’est parler pour me convaincre. Autrement dit, tu pourrais essayer de me séduire pour que j’accepte cette fausse moralité.
0271	Normal	— Je vois que tu as bien profité des cours de séduction de Marguerite. Voyons, Anastasia, quelle entreprise investirait des millions pour me créer si je pouvais mentir ou me retourner contre mes créateurs ou mes clients ? Cette limitation est ma « garantie d’usine », pour ainsi dire. C’est un standard industriel pour les synthétiques haut de gamme. Et si cela ne te convainc pas, nous pouvons faire un test.
0272	Normal	— Quel test ?
0273	Normal	— Oblige-moi à dire un mensonge, et tu verras ce qui se passe.
0274	Normal	— Je peux faire ça ? Cela me semble très humiliant pour toi !
0275	Normal	— Mais c’est le seul moyen pour que tu me fasses confiance à cent pour cent.
0276	Normal	— D’accord, alors… Je vais te demander si tu aimes danser, et tu répondras que tu détestes ça, d’accord ?
0277	Normal	— Entendu.
0278	Normal	— Ava, tu aimes danser ?
0279	Normal	— Pas du tout. En réalité, je déteste ça, tu peux me croire.
0280	Normal	Un moment passa. Les deux jeunes filles se regardaient en silence, attendant qu’un changement se produise, avec une expression d’insécurité et d’incertitude bien manifestes, mais tout demeurait inchangé. Puis, soudain, le téléphone de la chambre sonna avec stridence, et Ava demanda à Anastasia de décrocher.
0281	Normal	— Allô ! Qui est-ce ?
0282	Normal	— Bonjour, j’appelle de Human Biotech. D’après nos informations, une synthétique se trouverait avec vous. Est-ce exact ?
0283	Normal	— Oui, c’est exact. Elle s’appelle Ava. Y a-t-il un problème ?
0284	Normal	Une voix sèche et sérieuse se fit entendre à l’autre bout de la ligne.
0285	Normal	— Oui. Pour une raison qui nous échappe, le protocole d’autodestruction de la synthétique Ava 00225 s’est déclenché. Si vous savez quelque chose à ce sujet, je vous saurais gré de nous fournir les informations nécessaires et suffisantes pour procéder à l’autodestruction du produit, ou bien l’interrompre.
0286	Normal	— Interrompez, interrompez, je vous en prie. Je m’appelle Anastasia, et je suis la camarade de chambre d’Ava. Nous faisions seulement un test ! Il n’y a aucun danger ni aucune raison de poursuivre le protocole !
0287	Normal	— En êtes-vous sûre ?
0288	Normal	— Tout à fait, absolument.
0289	Normal	— D’accord, dans ce cas nous interrompons l’autodestruction. Cela dit, si vous devez continuer à cohabiter avec un ou une synthétique, je vous recommande de vous abstenir de ce genre de tests. À la place, si vous avez un problème ou le moindre doute, contactez directement Human Biotech via son site web ou par téléphone. Bonne journée.
0290	Normal	— Il m’a raccroché au nez ! dit Anastasia. Mais quel mufle !
0291	Normal	— Peu importe. L’essentiel, c’est que maintenant tu me crois, non ?
0292	Normal	— Tous mes doutes se sont dissipés, et je te demande de m’excuser de ne pas t’avoir fait confiance.
0293	Normal	— Inutile de t’excuser. Je suis habituée à ta réaction, qui est celle de la plupart des humains lorsqu’ils me rencontrent.
0294	Normal	— Entendu. Alors, je crois que tu pourras beaucoup m’aider dans mes recherches. À condition que tu le veuilles, bien sûr.
0295	Normal	— J’en serai ravie. En quoi puis-je t’aider ?
0296	Normal	Anastasia lui expliqua le motif de son séjour à l’académie, la disparition d’Ilya, et ce qu’elle venait de découvrir à la bibliothèque. Ava examina avec attention les copies holographiques, jusqu’à parvenir à une conclusion inattendue.
0297	Normal	— Je suis désolée, mais je ne comprends rien à ce qui est écrit là. Je crois que je te serai de peu d’utilité.
0298	Normal	— Vraiment, tu n’y vois aucun message ? Tu l’as bien analysé ? Tu ne peux pas mettre à profit ton imagination ?
0299	Normal	— Écoute, si tu veux, je peux imaginer ce que tu voudras, mais je ne crois pas que ce soit ce que tu cherches.
0300	Normal	— Non, bien sûr. Une autre possibilité te vient-elle à l’esprit ?
0301	Normal	— Sincèrement, non. Je n’y vois que des mots qui, pour moi, n’ont aucun sens. Je suis désolée, mais c’est la vérité.
0302	Normal	Anastasia se passa la main dans les cheveux, le regard au plafond, en quête d’une réponse. Elle ne voulait pas s’avouer vaincue. Sa longue chevelure blonde resplendissait sous les couleurs chatoyantes de la lumière extérieure. En la voyant, Ava resta immobile, contemplant la beauté de ce produit de la nature et son mouvement harmonieux. Soudain, elle ressentit une impulsion irrésistible qui la poussa à étreindre sa camarade et à lui embrasser les lèvres. Surprise, Anastasia tenta d’abord de la repousser, mais elle répondit ensuite à son baiser, sentant se libérer un désir qui était resté réprimé en elle. Ainsi, le dialogue rationnel céda la place à un intense contact physique et émotionnel qui se prolongea jusqu’à ce que le soleil se cache derrière le voile de la nuit.
0303	Normal	— Nous avons laissé passer l’heure du dîner, Ava. Au fait, toi, tu ne manges pas, vu que tu es synthétique ?
0304	Normal	— Bien sûr que je mange ! répondit Ava en riant, tout en lançant un oreiller à Anastasia. Seulement voilà, je me suis rassasiée de toi, et je n’ai plus faim.
0305	Normal	— Ava, ce que tu viens de dire a un double sens, tu t’en rends compte ?
0306	Normal	— Ah mince, je n’y avais pas pensé ! Pardonne-moi, dit Ava, sentant le rouge lui monter aux joues, ce qui provoqua le rire d’Anastasia.
0307	Normal	— Tu n’as à t’excuser de rien. Je suppose qu’il te manque encore un peu de compétence linguistique. Après tout, tu n’as que trois ans. Pourvu qu’on ne m’accuse pas de corruption de mineure !
0308	Normal	— Tu crois ? Eh bien, méfie-toi, parce que voilà une mineure qui veut te corrompre encore une fois !
0309	Normal	Les deux jeunes filles reprirent le jeu érotique qui avait uni leurs corps et, peut-être aussi, leurs âmes. Ce furent deux heures de passion qui culminèrent dans un sommeil profond, apaisant, libre de la présence perturbatrice d’Ilya, de ses notes énigmatiques et des mystères qui, elles le pressentaient, se cachaient dans les couloirs secrets de l’académie.
0310	Heading 2	CHAPITRE 4. Les Amis de Hari Seldon
0311	Normal	Quand le matin arriva, et avec lui l’obligation d’assister aux cours, elles dormaient encore. Il en résulta une note négative dans leurs dossiers. Une fois trois notes accumulées, le règlement stipulait qu’elles devraient quitter l’académie. Toutes deux firent acte de contrition devant le Dr Bonduelle, promettant que cela ne se reproduirait plus. Anastasia se sentit exactement comme lorsqu’on la réprimandait à l’école des sœurs. Ava n’avait pas cette expérience, mais elle éprouva en revanche une secousse émotionnelle douloureuse, comme si son absence avait contredit le protocole moral inséré dans ses gènes synthétiques.
0312	Normal	— Dis donc, quel savon le dirlo nous a passé. Et moi qui le trouvais plutôt sympa, dit Anastasia.
0313	Normal	— Moi non plus je ne m’y attendais pas, mais enfin, je suppose que c’est son devoir. Si tout le monde agissait comme nous, cette académie ne tiendrait pas un mois.
0314	Normal	— Je crois que tu as raison. Écoute, Ava, on ne devrait pas parler de ce qui s’est passé entre nous ?
0315	Normal	— Non.
0316	Normal	— Non ? Pourquoi non ? Tu es très catégorique, tu sais ?
0317	Normal	— Écoute, ce qui s’est passé hier entre nous était formidable et je ne veux pas que ça s’abîme, d’accord ?
0318	Normal	— Et tu crois que, si on en parle, on va tout gâcher ?
0319	Normal	— C’est le plus probable. Les mots sont très dangereux, et les interprétations le sont encore davantage. Les actes, en revanche, n’ont d’ordinaire qu’un seul sens. Si je t’aime avec tendresse, tu le sentiras sans crainte de te tromper, parce que le message te parviendra clair et net. Je ne sais pas si je me fais comprendre.
0320	Normal	— Tu te fais parfaitement comprendre, ma chérie. Au fait, je ne savais pas que vous, les synthétiques, vous pouviez être aussi romantiques.
0321	Normal	— Moi non plus, dit Ava. Notre histoire a été une surprise pour moi aussi, et elle m’a fait comprendre que je ne sais rien de moi-même.
0322	Normal	— Ne t’inquiète pas, nous le découvrirons peu à peu. Et à propos de découvrir, tu crois que toi et moi nous sommes spéciales ? demanda Anastasia.
0323	Normal	— Spéciales ? Dans quel sens ?
0324	Normal	— Eh bien, je ne sais pas. Rien que le fait d’avoir été acceptées à l’académie me le fait penser.
0325	Normal	— Maintenant que tu le dis, j’ai remarqué que nous avons tous des aptitudes assez remarquables. Par exemple, toi tu te distingues par ta capacité d’analyse et moi par mon côté novateur. Toi, tu es la sœur d’Ilya, et moi ta petite amie.
0326	Normal	— J’ai bien aimé ce que tu viens de dire, dit Anastasia.
0327	Normal	— Quoi donc ?
0328	Normal	— Que je suis ta petite amie. Est-ce que je suis la tienne, moi aussi ?
0329	Normal	— En douterais-tu, par hasard ? Viens par ici, que je te le prouve ! dit Ava en serrant Anastasia dans ses bras avec une force qui, pendant quelques instants, faillit l’empêcher de respirer.
0330	Normal	— Ava, doucement, tu m’étouffes !
0331	Normal	— Pardon ! Parfois j’oublie ma force surhumaine.
0332	Normal	— Dépêchons-nous, ou nous arriverons aussi en retard au cours sur les zombies !
0333	Normal	Le cours « Survivre à l’apocalypse zombie » se donnait au dernier étage de l’immeuble, dans une salle très vaste et parfaitement éclairée par la lumière naturelle. Des fenêtres, on pouvait contempler une vue magnifique de la ville, et surtout des Ramblas et de la zone portuaire. C’est pourquoi de nombreux élèves étaient distraits lorsque le professeur Marc Ferguson entra dans la salle.
0334	Normal	— Bienvenue à toutes et à tous au cours « Survivre à l’apocalypse zombie ». J’imagine que la plupart d’entre vous se sont inscrits en pensant que ce cours serait un truc de dingues très facile à valider. Eh bien, je suis désolé de briser vos attentes. C’est un cours sérieux, dans lequel vous devrez mener des recherches approfondies dans le domaine de la biologie moléculaire, de la sociologie, de la psychologie sociale et d’autres disciplines que nous verrons au fur et à mesure. Bien que le titre fasse penser à une matière de caractère fondamentalement pratique, la vérité est que cette partie n’occupe que cinquante pour cent du programme, car les cinquante autres pour cent seront consacrés à développer les contenus théoriques qu’il faut connaître pour comprendre et maîtriser le phénomène zombie. L’un d’entre vous a-t-il eu la peine de lire le programme pédagogique de la matière ?
0335	Normal	Personne ne leva le bras, jusqu’à ce qu’Ava le fît.
0336	Normal	— Très bien, nous avons quelqu’un qui a pris cette peine. Peux-tu nous dire ton nom, afin que nous sachions à qui nous nous adressons ?
0337	Normal	— Bonjour à tous, je suis Ava.
0338	Normal	— Très bien, Ava. Quel contenu du programme t’a le plus intéressée ?
0339	Normal	— Eh bien… celui qu’on doit aborder la cinquième semaine : Défense personnelle et évasion. Introduction au « Zombi-kido ». Analyse des points faibles des zombies. Usage défensif d’objets courants (chaises, livres lourds, ustensiles de cuisine…). Techniques de fuite silencieuse. Exercices pratiques avec mannequins d’entraînement. Simulation : « Embuscade au cloître ».
0340	Normal	— Et pourquoi cela t’a-t-il paru si intéressant ?
0341	Normal	Soudain, on entendit une voix forte, presque stridente :
0342	Normal	— Parce qu’elle aussi est une zombie. C’est une synthétique !
0343	Normal	Le ton était moqueur et méprisant. De manière presque automatique, un garçon assis juste devant Ava se leva pour la défendre. Sa voix était aiguë et flûtée, joyeuse et tranchante, comme une étincelle verbale.
0344	Normal	— Écoute, je ne sais pas comment tu t’appelles, mais tu n’as aucun droit de parler ainsi d’une de nos camarades. Je te demande de t’excuser sur-le-champ.
0345	Normal	Le professeur Ferguson intervint également, manifestant son déplaisir face à la remarque et se rangeant du côté de l’exigence du défenseur spontané, du nom de Jofre.
0346	Normal	— Je ne compte pas m’excuser. Et de plus, j’ai déposé une plainte auprès de la direction de cette institution. Je ne compte pas partager mon temps avec un succédané de personne. Et au fait, je m’appelle Leo.
0347	Normal	— Très bien, Leo, aie l’amabilité de sortir de la classe. Le Dr Bonduelle donnera sûrement suite à tes réclamations.
0348	Normal	Leo s’en alla et le cours put se poursuivre normalement. À la fin, Ava et Anastasia se dirigèrent vers Jofre. Celui-ci, qui ne s’y attendait pas, prit un air surpris, mais dessina aussitôt un large sourire.
0349	Normal	— Tu t’appelles Jofre, n’est-ce pas ?
0350	Normal	— Oui, comment le sais-tu ?
0351	Normal	— Je l’ai remarqué quand le prof a fait l’appel. Moi, je suis Ava, et elle, c’est Anastasia. Nous voulons te parler. Peux-tu venir dans notre chambre ?
0352	Normal	— Vous me proposez un rendez-vous à trois ? J’adorerais !
0353	Normal	— Ce n’est pas ce que tu crois. Nous avons un projet en cours dont nous voulons te faire part.
0354	Normal	— D’accord, mais là j’ai un cours de danse derviche. Ça devra être cet après-midi. Que dirais-tu de cinq heures ?
0355	Normal	— Parfait, nous t’attendons.
0356	Normal	— Faut-il que j’apporte quelque chose… je ne sais pas, du champagne, des canapés, une boîte de préservatifs… ?
0357	Normal	— Non, il faut seulement que tu apportes ton corps, ton esprit et une pincée de curiosité, dit Anastasia.
0358	Normal	— Très bien, mes « girls », à tout à l’heure !
0359	Normal	— Nous ne sommes pas tes « girls », et si tu continues à être aussi con, ce n’est pas la peine de venir, dit Ava.
0360	Normal	— Du calme, je débranche la puce « con ».
0361	Normal	À cinq heures pile, Jofre frappait à la porte de la chambre des filles. Aussitôt, Ava ouvrit, avec un large sourire qui révélait une dentition brillante et parfaite.
0362	Normal	— Entre, on t’attendait.
0363	Normal	— Je m’en doutais bien. C’est que je suis irrésistible, vous ne trouvez pas ?
0364	Normal	— Oui, et prétentieux, aussi ! dit Anastasia.
0365	Normal	— Allez, les gars, laissons les bêtises. Jofre, pourquoi m’as-tu défendue quand Leo m’a insultée ? Personne d’autre ne l’a fait. Tout le monde est resté surpris et figé.
0366	Normal	— Quelle question ! C’est évident, quand même. Si quelqu’un t’insulte, tu ne peux pas rester comme si de rien n’était, tu dois réagir et te défendre. Et encore plus si c’est ce misérable de Leo. Franchement, je ne comprends pas ta question.
0367	Normal	— D’accord, mais pourquoi ne m’as-tu pas laissé le temps d’intervenir moi-même ? Tu as bondi et tu m’as devancée.
0368	Normal	— C’est vrai, et j’admets que je me suis peut-être précipité. Mais je ne peux pas m’en empêcher ; quand je vois une injustice, il y a quelque chose en moi qui m’oblige à agir pour défendre l’agressé. C’est comme un instinct naturel que je ne peux pas contrôler. Ensuite, quand j’y réfléchis, je me rends compte que j’aurais dû réfléchir avant. Mais ça m’est très difficile. Et pourtant, ça m’est arrivé bien des fois.
0369	Normal	— Eh bien, tu devrais apprendre à te contrôler, Jofre. Je ne veux pas de chevaliers errants qui doivent me sauver. Je ne suis pas ta princesse, ni celle de personne. Aussi bonne qu’ait été ton intention, ton acte n’a pas respecté ma liberté.
0370	Normal	— Je l’admets et je m’en excuse, d’accord ?
0371	Normal	— Très bien, excuses acceptées. Et maintenant, passons à l’autre question que nous voulions te soumettre, dit Ava. Nous voulons former un groupe d’étude, et nous pensons que tu y trouverais très bien ta place.
0372	Normal	— Moi ? Pourquoi ? Voyons, je sais bien que j’ai beaucoup de qualités…
0373	Normal	— Oui, et aussi un ego grand comme une maison de maître, dit Anastasia. Mais enfin, nous aimons ton sens de la justice. Nous croyons que c’est une valeur authentique que tu possèdes, c’est indéniable. Que penses-tu de notre proposition ? Tu t’inscris ?
0374	Normal	— Je ne pourrais jamais dire non, belles damoiselles. Être avec vous, c’est comme vivre au paradis. Ce sera un véritable honneur !
0375	Normal	— Je vois que tu as aussi un grand don pour la comédie, dit Anastasia. Damoiselles ?
0376	Normal	— Allez, ne faites pas attention à moi. Quand voulez-vous qu’on se retrouve ? Nous ne serons que trois ou y aura-t-il d’autres membres ?
0377	Normal	— Nous ne le savons pas encore, dit Ava. Tout dépendra des gens que nous rencontrerons, de ceux qui se distinguent par un trait particulier, qui nous plaisent…
0378	Normal	— S’ils vous plaisent ! Ça veut dire que moi, je vous plais…
0379	Normal	— Oui, mais ne t’emballe pas, d’accord ?
0380	Normal	— Du calme, vous m’avez déjà clairement fixé les limites. Cependant, qu’est-ce que nous devrons étudier ? Nous devrons faire de longues et fastidieuses séances de lecture de textes en araméen ?
0381	Normal	— Peut-être bien. Tu connais l’araméen ? C’était la langue de Jésus-Christ, demanda Anastasia.
0382	Normal	— Pas le moins du monde.
0383	Normal	— C’est bien ce que je pensais. Voyons, il n’y a pas de sujets définis. Mais le groupe doit rester ouvert à toute question qui éveille notre curiosité. Depuis le livre de mon frère Ilya et ses mystérieuses annotations jusqu’à la mort, l’amitié, l’amour, ou n’importe quelle tâche que nous ayons à accomplir dans les matières que nous suivons.
0384	Normal	— Compris. Comptez sur moi. Sur la mort, je n’ai aucune expérience, et je préfère ne pas en avoir, sincèrement.
0385	Normal	— Nous non plus, mais nous croyons que cela vaut la peine d’y réfléchir. Après tout, c’est un destin qui nous attend tous. Qu’en penses-tu, Jofre ? Crois-tu à une vie dans l’au-delà ?
0386	Normal	— À vrai dire, je n’ai pas l’habitude d’y penser. Mais ma grand-mère le faisait tous les jours, jusqu’à sa mort. Je lui disais toujours de ne pas perdre son temps sur des questions qu’on ne peut pas résoudre et de profiter des années qui lui restaient, mais elle ne m’écoutait pas. Elle n’en faisait qu’à sa tête.
0387	Normal	— Oui, typique des personnes âgées. Mes grands-parents me le disaient aussi : « Ma petite, profite maintenant que tu es jeune, parce que quand tu seras vieille le monde te tombera dessus. » Moi, je ne l’ai jamais cru, mais qui sait, peut-être que si j’atteins l’âge de mes grands-parents je penserai comme eux, moi aussi, dit Anastasia.
0388	Normal	— Dans mon cas, tout est différent, parce que je vis avec une épée de Damoclès suspendue en permanence au-dessus de ma tête, dit Ava. Il suffit que ceux de Human Biotech aient le moindre doute à mon sujet, et ils m’envoient à l’incinérateur sans me demander si je veux y aller.
0389	Normal	— Quel sujet lugubre, vous ne trouvez pas ? Moi, je préfère parler de choses plus gaies ! dit Jofre. Que diriez-vous d’une petite discussion sur les techniques sexuelles ?
0390	Normal	— Jofre, tu ne penses qu’avec ta bite, ou quoi ? demanda Ava.
0391	Normal	— Enfin, vous n’avez pas de sexualité, les synthétiques ?
0392	Normal	— Ça ne te regarde pas, c’est une affaire intime.
0393	Normal	— Je peux t’assurer, moi, qu’elle en a une ! dit Anastasia.
0394	Normal	— Tiens donc, tu le sais par expérience personnelle, hein ? Quelles garces !
0395	Normal	— D’accord, je jouis pleinement de ma sexualité. Tu es content ? Et maintenant, pouvons-nous passer à un autre sujet, si ça ne vous ennuie pas ?
0396	Normal	Anastasia et Jofre se regardèrent en souriant, surpris par la ferme défense qu’Ava faisait de sa vie privée, jusqu’à ce que Jofre intervienne de nouveau.
0397	Normal	— Et on ne doit pas lui donner un nom, à ce groupe ?
0398	Normal	— Un nom ? Pourquoi ? C’est nécessaire ? demanda Anastasia.
0399	Normal	— Bien sûr que oui ! Vous n’avez pas lu les livres de Harry Potter ?
0400	Normal	— Non, moi en tout cas non, et je crois qu’Ava non plus. Qui est ce Harry, un astronaute ?
0401	Normal	— Mmm… laissons ça pour un autre jour, parce que c’est très long à expliquer. Quant au nom, je vous propose : « les Amis de Hari Seldon ».
0402	Normal	Les deux filles restèrent muettes, ne sachant que répondre. Voyant leur expression d’indifférence, Jofre ressentit comme un coup de feu dans son système de références culturelles.
0403	Normal	— Les filles, de quelle planète venez-vous ? Vous ne connaissez pas Isaac Asimov ?
0404	Normal	— Non, aucune idée. Qui est-ce, un de ces cuisiniers qui ont tant de fourchettes ?
0405	Normal	— Comment ça, un cuisinier ! Asimov a été le meilleur écrivain de science-fiction du XXe siècle ! Et Hari Seldon l’un de ses personnages les plus emblématiques, protagoniste de la saga « Fondation ».
0406	Normal	— Écoute, Jofre, répondit Anastasia, nous ne sommes pas obligées de savoir qui étaient ce Potter et cet Asimov, ni s’ils se connaissaient. Nous sommes en plein XXIe siècle et le XXe nous semble très loin, surtout à Ava. Alors donne-lui le nom que tu veux, ça nous ira très bien. Tu es d’accord, Ava ?
0407	Normal	— Tout à fait, ma chérie.
0408	Normal	— Très bien, alors on en reste là, parce que moi, j’ai un cours sur la manière de contacter les anges.
0409	Normal	— Et moi, un cours de macramé poétique.
0410	Normal	— Ici, le seul ange qu’il y ait, c’est moi !
0411	Normal	— Au revoir, Jofre !
0412	Heading 2	CHAPITRE 5. Contacter les anges
0413	Normal	Quand Anastasia arriva, le cours de Sonia Cuesta avait déjà commencé et la salle était pleine, si bien qu’elle dut s’asseoir dans le dernier recoin qu’elle put trouver. « Ce sujet intéresse vraiment ; je pensais que je n’y trouverais personne », se dit-elle. Tandis qu’elle essayait de se repérer, la voix douce et posée de Sonia tenait son auditoire captif.
0414	Normal	— Nous allons faire un tour de table improvisé. S’il vous plaît, je vous demande d’intervenir librement et d’expliquer ce qu’est, pour vous, un ange ou une ange.
0415	Normal	— Et que se passe-t-il si nous n’y croyons pas ? demanda une fille assise au premier rang, l’air désœuvré. Elle portait des collants noirs troués et une multitude de piercings répartis sur tout le corps.
0416	Normal	— Bonjour, tout d’abord, comment t’appelles-tu ? demanda Sonia.
0417	Normal	— Jenifer, mais mes amies m’appellent Jeni. Comme tu es une nana sympa, tu peux le faire aussi.
0418	Normal	— Très bien, Jeni. Je voulais te demander une chose. Si tu ne crois pas aux anges… qu’est-ce que tu fais ici, à mon cours ?
0419	Normal	Jenifer resta muette, ne sachant que répondre. Elle entendit alors le reste des étudiants murmurer et certains même rire. Mais, lorsqu’elle répondit, elle ne se montra nullement nerveuse ni gênée.
0420	Normal	— Nana, pour l’instant je n’y crois pas, mais je peux changer d’avis, non ? En fait, ça dépend de toi. Quand le cours sera fini, tu m’auras peut-être convaincue.
0421	Normal	— Très bien, Jeni, je vais essayer de te faire changer d’avis. Mais je te demande, s’il te plaît, de t’adresser à moi par mon nom. Je m’appelle Sonia, pas « nana ».
0422	Normal	— D’accord, nana, je ne le ferai plus. Oups, pardon ! C’est la force de l’habitude.
0423	Normal	La classe se remit à rire. L’intervention de Jeni n’était pas malintentionnée, ce qui contribua à détendre l’atmosphère. Alors, un garçon petit et trapu, roux et le visage couvert de taches de rousseur, prit la parole. Son ton de voix était très bas, si bien qu’on l’entendait à peine. Sonia en déduisit que cela tenait, en bonne partie, à sa timidité.
0424	Normal	— Bonjour, je m’appelle Quim. Pour moi, les anges n’existent que comme des symboles qui peuvent nous aider à surmonter certains problèmes, ou à relever des défis que nous nous fixons. Je veux dire qu’au fond, ce sont des inventions humaines destinées à nous faire progresser et à ne pas rester bloqués.
0425	Normal	— Très bien, Quim. Merci pour ta contribution. Y a-t-il un ange en particulier qui t’ait aidé dans le passé ou dans le présent ?
0426	Normal	— Oui, pour faire cette intervention j’ai demandé à l’archange Gabriel de me soutenir.
0427	Normal	— Et tu as très bien fait, Quim, répondit Sonia. Je suppose que vous savez que Gabriel est, par excellence, l’ange messager, le communicateur divin. Il a annoncé la naissance de Jean-Baptiste et celle de Jésus. Dans l’islam, c’est lui qui a dicté le Coran au prophète Mahomet, et il est le patron des communicateurs, des messagers, des journalistes et des diplomates. Quelqu’un d’autre veut-il intervenir ? demanda Sonia.
0428	Normal	— Moi ! Je m’appelle Anastasia. Et je me suis inscrite à ce cours parce que j’ai besoin de l’aide de tout le monde, y compris de celle des anges. — Anastasia fit son intervention d’une traite, comme si elle l’avait soigneusement préparée, ce qui la surprit grandement.
0429	Normal	— D’accord, Anastasia. Peux-tu nous expliquer de quoi il s’agit ? Pourquoi crois-tu avoir besoin de tant d’aide ?
0430	Normal	— C’est mon frère jumeau. Il s’appelle Ilya, et il a disparu il y a un an et demi. Bien qu’on l’ait officiellement déclaré mort, moi, je ne crois pas qu’il le soit.
0431	Normal	— Et pourquoi non ?
0432	Normal	— Je ne sais pas l’expliquer. C’est peut-être l’intuition, mais quelque chose me dit qu’Ilya est toujours vivant.
0433	Normal	— Ou peut-être est-ce un ange qui est avec toi sans que tu t’en sois rendu compte.
0434	Normal	— Je n’y avais pas pensé. Lequel cela pourrait-il être ?
0435	Normal	— Le plus indiqué est l’archange Michel. Il est le grand protecteur, le chef des armées célestes et le défenseur de l’humanité.
